1000	0.04	0.02	0.02	0.01	
10000	0.00	0.01	0.01	0.02	
100000	0.01	0.01	0.02	0.03	
1000000	0.05	0.06	0.08	0.09	
2000000	0.15	0.14	0.15	0.18	
3000000	0.30	0.24	0.24	0.26	
4000000	0.52	0.37	0.35	0.36	
5000000	0.75	0.53	0.49	0.47	
6000000	1.07	0.74	0.64	0.65	
7000000	1.45	0.97	0.85	0.77	
8000000	1.92	1.25	1.09	0.98	
9000000	2.46	1.64	1.34	1.28	
10000000	3.19	2.04	1.64	1.43	
11000000	3.95	2.36	1.97	1.73	
12000000	4.74	2.86	2.26	2.05	
13000000	5.79	3.52	2.63	2.37	
14000000	6.86	4.11	3.18	2.72	
15000000	8.10	4.76	3.64	3.11	
16000000	9.36	5.17	4.15	3.54	
17000000	10.73	5.87	4.72	3.97	
18000000	12.36	6.65	5.03	4.48	
19000000	14.03	7.48	5.87	4.97	
20000000	16.00	8.34	6.53	5.52	
